instruction,category,intent
Quick question - is there a support email I can use?,CONTACT,contact_customer_service
What is your customer service phone number?,CONTACT,contact_customer_service
"Hi, what are my pamyent options at checkout?",PAYMENT,check_payment_methods
a live representative help me? The chatbot isn't enough.,CONTACT,contact_human_agent
I need to talk to someone about my order.,CONTACT,contact_customer_service
"hello, i want to switch to a different account",ACCOUNT,switch_account
Please change the size on my recent order before it ships,ORDER,change_order
could you help - how do i request a rfeund?,REFUND,get_refund
"i nede to reset my password, please help. thanks!",ACCOUNT,recover_password
What is your customer service phone number?,CONTACT,contact_customer_service
"excuse me, i'd like to download an invoice",INVOICE,get_invoice
I'd like to donwload an invoice,INVOICE,get_invoice
Quick question - what shipping methods are available?,DELIVERY,delivery_options
Can you help me opne a customer account? This is urgent.,ACCOUNT,create_account
"Excuse me, I want to lodge a complaint about the recent experinece",FEEDBACK,complaint
need to change the shipping address on my order,SHIPPING_ADDRESS,change_shipping_address
Can you reroute my package to a new addres?s,SHIPPING_ADDRESS,change_shipping_address
"Hi, how do I subscribe to your newslettre?",NEWSLETTER,newsletter_subscription
"Hi, where my order? It hasn't arrived yet",ORDER,track_order
I want to create a new account on your platform,ACCOUNT,create_account
could you hlep - how can i sign up for an account?,ACCOUNT,create_account
"good morning, what are my delivery options for this order?",DELIVERY,delivery_options
could you help - how do i request a refund?,REFUND,get_refund
Can I set up multiple addresses on my profile? Thanks in advance.,SHIPPING_ADDRESS,set_up_shipping_address
I need to modify my existing order,ORDER,change_order
"Hello, I'm getting an error when trying to register",ACCOUNT,registration_problems
can you help me open a customer account? thanks!,ACCOUNT,create_account
Could you help - I want to create a new account on your platform,ACCOUNT,create_account
"hi team, i'm having trouble paying, the page errors out",PAYMENT,payment_issue
Can I pay wtih PayPal? Is bank transfer an option?,PAYMENT,check_payment_methods
"Hi, I'm getting an error when trying to register",ACCOUNT,registration_problems
What's the tpyical delivery time to my country?,DELIVERY,delivery_period
is your customer service phone number?,CONTACT,contact_customer_service
"Hey there, I want to lodge a complaint abuot the recent experience",FEEDBACK,complaint
Tracking number says delivered but I never got it. Looking forward to hearing back.,ORDER,track_order
How do I close my account? I no longer want to use the service.,ACCOUNT,delete_account
I need invoice for accountnig. This is urgent.,INVOICE,get_invoice
Can you reroute my packgae to a new address?,SHIPPING_ADDRESS,change_shipping_address
"Hello, I'm still waiting for my rfeund, where is it?",REFUND,track_refund
"Hi team, I want to get a refund for my purchase",REFUND,get_refund
I need to cancel my order immediaetly,CANCEL,cancel_order
"Hey there, I need to modify my existing order",ORDER,change_order
Cuold you help - how do I edit the delivery address?,SHIPPING_ADDRESS,change_shipping_address
"I'd like to regitser, whta's the process?",ACCOUNT,create_account
"Hi team, I need to modify my existing order",ORDER,change_order
Please connect me to a real person. Cheers.,CONTACT,contact_human_agent
Qucik question - how do I add a new shipping address to my account?,SHIPPING_ADDRESS,set_up_shipping_address
"hi, i keep gettign 'username already taken' but i'm new",ACCOUNT,registration_problems
"Hey there, how do I contact your support team?",CONTACT,contact_customer_service
"I'm still waiting for my refund, where is it?",REFUND,track_refund
"Excuse me, I need to look up an old invoice",INVOICE,check_invoice
"i changed my midn, can i cancel my recent purchase?",CANCEL,cancel_order
What's the typical delivery time to my country?,DELIVERY,delivery_period
"hi, how can i leave a review for the prodcut i bought?",FEEDBACK,review
How can I change my account information?,ACCOUNT,edit_account
How do I log into a secondary account?,ACCOUNT,switch_account
Can I pay with PayPal? Is bank transfer an option?,PAYMENT,check_payment_methods
How do I log into a secondary account?,ACCOUNT,switch_account
Tracking number says delivered but I never got it. This is urgent.,ORDER,track_order
Can you email me a PDF invoice for order #5500?,INVOICE,get_invoice
Wehre can I view my past invoices? Thanks in advance.,INVOICE,check_invoice
Where do I post a product review? Cheers.,FEEDBACK,review
"locked out of my account, password recovery isn't working!",ACCOUNT,recover_password
"Hi, I need my account deleted right away",ACCOUNT,delete_account
"excuse me, can you help me modify my account settings?",ACCOUNT,edit_account
Please connect me to a real person. This is urgent.,CONTACT,contact_human_agent
how can I leave a review for the product I bought?,FEEDBACK,review
Please change the size on my recent order before it ships,ORDER,change_order
Can you help me open a customer account?,ACCOUNT,create_account
How do I order this product? Thanks in advance.,ORDER,place_order
can you reroute my package to a new address?,SHIPPING_ADDRESS,change_shipping_address
"Hi, I need to use a different user profile",ACCOUNT,switch_account
when can i expect my package? looking forward to hearing back.,DELIVERY,delivery_period
I have a question: how can I sign up for an account?,ACCOUNT,create_account
how do i order this prodcut? many thanks.,ORDER,place_order
"I'm still waiting for my refund, where is it?",REFUND,track_refund
"Hi tea,m I need to cancel my order immediately",CANCEL,cancel_order
Where can I view my past invoices? Many thanks.,INVOICE,check_invoice
can i set up multiple addresses on my profile?,SHIPPING_ADDRESS,set_up_shipping_address
Whats' the typical delivery time my country?,DELIVERY,delivery_period
Qucik question - I want to create a new account on yoru platform,ACCOUNT,create_account
I'd like to edit my personal details. This is urgent.,ACCOUNT,edit_account
"Excuse me, how can I sign up for an account?",ACCOUNT,create_account
I want to create a new account on your platform,ACCOUNT,create_account
Your support has been awful and I'm furious about it,FEEDBACK,complaint
how do i log into a secondary account?,ACCOUNT,switch_account
It's been 10 days and no refund ye.t Thanks!,REFUND,track_refund
"hi, i need to use a different user profile",ACCOUNT,switch_account
what is your refund policy?,REFUND,check_refund_policy
"Hi, please send me the invoice for my recent order",INVOICE,get_invoice
"i'm ready to buy, what's nxet?",ORDER,place_order
I want to craete new account on your platfomr,ACCOUNT,create_account
Can I have two accounts and switch between them? Looking forward to haering back.,ACCOUNT,switch_account
question - how do I track my shipment?,ORDER,track_order
Can I have two accounts and switch between them? Cheers.,ACCOUNT,switch_account
i need to talk to someone about my order. cheers.,CONTACT,contact_customer_service
I have a question: I'm trying to find a copy my invoice,INVOICE,check_invoice
"hey there, can you help me complete my purchase?",ORDER,place_order
i need to talk to someone about my order. cheers.,CONTACT,contact_customer_service
Can you email me a PDF invoice for order #5500?,INVOICE,get_invoice
Can you check on the status of my refund?,REFUND,track_refund
"Good morning, estimated delivery for standard shipping?",DELIVERY,delivery_period
"Godo morning, do you offer money-back guarantees?",REFUND,check_refund_policy
"Hello, I keep getting 'username already tkaen' but I'm new",ACCOUNT,registration_problems
I have a question: I need my account deleted right away,ACCOUNT,delete_account
i'd like to receive your weekly emails. many thanks.,NEWSLETTER,newsletter_subscription
"I'd like to register, what's the process? Cheers.",ACCOUNT,create_account
The singup form keeps rejecting my email. Looikng forward to hearing bac.k,ACCOUNT,registration_problems
quick question - i want to wrtie a review of my experinece,FEEDBACK,review
could you help - sgin me up for promotional emails,NEWSLETTER,newsletter_subscription
why can't i create my account? it says invalid input.,ACCOUNT,registration_problems
Could you help - what shipping methods are available?,DELIVERY,delivery_options
Can I have two accounts and switch between them? Please assist.,ACCOUNT,switch_account
"Hey there, which payment methods do you accept?",PAYMENT,check_payment_methods
quick questoin - the password reset email neevr arrived,ACCOUNT,recover_password
Tracking number says delivered but I never got it. Thanks in advanec.,ORDER,track_order
Can I have two accounts and swtich between them? Many thanks.,ACCOUNT,switch_account
"Please refund order #3300, the item arrived broken. Cheers.",REFUND,get_refund
when can i expect my package?,DELIVERY,delivery_period
what is your refund policy?,REFUND,check_refund_policy
I need an invoice for accounting. Please assist.,INVOICE,get_invoice
"hello, i keep getting 'username already taken' but i'm new",ACCOUNT,registration_problems
"Hi team, the password reset email never arrived",ACCOUNT,recover_password
Tracking number says delivered but I never got it. Thanks in advance.,ORDER,track_order
"could you hepl - cancel my order asap, i ordered the wrong item",CANCEL,cancel_order
"Hi team, I'm still waiting for my refund, where is it?",REFUND,track_refund
It's been 10 days and no refund yet. Thanks!,REFUND,track_refund
"I changed my mind, can I cancel my recent purchase?",CANCEL,cancel_order
how many days do i have to return an item? cheers.,REFUND,check_refund_policy
Can I have two accounts and switch between them? Thanks!,ACCOUNT,switch_account
Where can I view my past invoices? Thanks in advance.,INVOICE,check_invoice
I'd like to share my feedback on a recent purchase,FEEDBACK,review
I was charged twice for the same order! I'd appreciate a quick relpy.,PAYMENT,payment_issue
I need an invoice for accounting. Many thanks.,INVOICE,get_invoice
I was charged twice for the same orde!r I'd appreciate a quick reply.,PAYMENT,payment_issue
I have a question: I want to lodge complaitn about the recent experience,FEEDBACK,complaint
"excuse me, i need to cancel my order immediately",CANCEL,cancel_order
Can I unsubscribe from the newsletter please?,NEWSLETTER,newsletter_subscription
"Hi team, I need to update the email on my profile",ACCOUNT,edit_account
"excuse me, i'd like to download an invoice",INVOICE,get_invoice
I nede to talk to someone about my order. Cheers.,CONTACT,contact_customer_service
"hi team, i want to delete my account permanently",ACCOUNT,delete_account
"I need to reset my password, please help. Cheers.",ACCOUNT,recover_password
it's been 10 days and no refund yet.,REFUND,track_refund
Do you take Apple Pay or only credit cards? I'd appreciate a qucik reply.,PAYMENT,check_payment_methods
"wrong address on my order, please update it! i'd appreciate a quick reply.",SHIPPING_ADDRESS,change_shipping_address
"hi, i'm tyring to find a copy of my invioce",INVOICE,check_invoice
Can I unsubscribe from the newsletter please?,NEWSLETTER,newsletter_subscription
"Hi, I need a human agent right now",CONTACT,contact_human_agent
I'd like to receive your weekly emails.,NEWSLETTER,newsletter_subscription
i'd like to receive your weekly emails. this is urgent.,NEWSLETTER,newsletter_subscription
Can I have two accounts and switch between them? Cheers.,ACCOUNT,switch_account
I have a qusetion: how can I leave a review for the product I bough?t,FEEDBACK,review
can you emali me a pdf invoice for order #5500?,INVOICE,get_invoice
"good morinng, my payment was declined but my card is fine",PAYMENT,payment_issue
I have a question: how do I contact your support team?,CONTACT,contact_customer_service
"hello, i need to look up an old invoice",INVOICE,check_invoice
Could you help - I'm getting an error when trying to regisetr,ACCOUNT,registration_problems
"Hello, how do I subscribe to your newsletter?",NEWSLETTER,newsletter_subscription
i want to save a second address for,SHIPPING_ADDRESS,set_up_shipping_address
"hello, i'm extremely unhappy with the service",FEEDBACK,complaint
"Hey there, I want to create a new account on your platform",ACCOUNT,create_account
Can you reroute my package to a new address?,SHIPPING_ADDRESS,change_shipping_address
"hey there, i need my account deleted right away",ACCOUNT,delete_account
"hey there, i want to update the quantity in my order",ORDER,change_order
"Excuse me, I keep getting 'username already taken' but I'm new",ACCOUNT,registration_problems
Where do I post a product review? Many thanks.,FEEDBACK,review
Why can't I create my account? It says invalid input.,ACCOUNT,registration_problems
can i get a full refund if i'm not satisfied?,REFUND,check_refund_policy
Can I unsubscribe from the newsletter please?,NEWSLETTER,newsletter_subscription
quick question - i need to modify my existing order,ORDER,change_order
"Hi, I want to switch to a different account",ACCOUNT,switch_account
"Hey there, what shipping methods are aavilable?",DELIVERY,delivery_options
Can you email me a PDF invoice for order #5500?,INVOICE,get_invoice
please change the size on my recent order beofre it ships,ORDER,change_order
"Hi team, please send me the invoice for my recent order",INVOICE,get_invoice
"hi, how do i subscribe to your newsletter?",NEWSLETTER,newsletter_subscription
I'd like to shaer my feedback on a recent purchase,FEEDBACK,review
i need to talk to someone about my order. this is urgent.,CONTACT,contact_customer_service
"locked out of my account, password reocvery isn't working!",ACCOUNT,recover_password
Please remove my account from your system. Please assist.,ACCOUNT,delete_account
how can i change my account information?,ACCOUNT,edit_account
I want to save a second address for deliveries,SHIPPING_ADDRESS,set_up_shipping_address
"Locked out of my account, password recovery isn't working!",ACCOUNT,recover_password
could you help - how do i add a new shipping address to my,SHIPPING_ADDRESS,set_up_shipping_address
"i changed my mind, can i cancle my recent purchase?",CANCEL,cancel_order
Could you help - I want to lodge a complaint about the recent experience,FEEDBACK,complaint
can i pay with paypal? is bank transfer an option?,PAYMENT,check_payment_methods
"this is unacceptable, i want to file a formal complaint! thanks in advance.",FEEDBACK,complaint
How do I log into a secondary account?,ACCOUNT,switch_account
"Hi, I want to get a refund for my purchase",REFUND,get_refund
the typical delivery time to my country?,DELIVERY,delivery_period
"hi team, i need to cancel my order immediately",CANCEL,cancel_order
Can you tell me the status of order #9001?,ORDER,track_order
can i pay with paypal? is bank transfer an option?,PAYMENT,check_payment_methods
"Hey there, I need a human agent right now",CONTACT,contact_human_agent
"hello, i watn to delete my account permanently",ACCOUNT,delete_account
Can you tell me the status of order #9001?,ORDER,track_order
I'd like to share my feedback on a purchase,FEEDBACK,review
i have two accounts and switch between them?,ACCOUNT,switch_account
Please connect me to a real person. Thanks in advance.,CONTACT,contact_human_agent
"good morning, how can i leave a review for the product i bought?",FEEDBACK,review
how many days do i have to return an item?,REFUND,check_refund_policy
I'd like to receive your weekly emails. Looking forward to hearing back.,NEWSLETTER,newsletter_subscription
"Hey there, I want to get a refund for my purchase",REFUND,get_refund
what's the typical delivery time to my country?,DELIVERY,delivery_period
I have a question: I need a human agent right now,CONTACT,contact_human_agent
Where can I view my past invoices? Many thanks.,INVOICE,check_invoice
"Hi, how do I edit the address?",SHIPPING_ADDRESS,change_shipping_address
Please chagne the size on my recent order before it ships,ORDER,change_order
"I'm ready to buy, what's next?",ORDER,place_order
"thsi is unacceptable, i want to fiel a formal complaint! lokoing forward to hearing back.",FEEDBACK,complaint
"Hello, I nede to update the email on my profile",ACCOUNT,edit_account
I need an invoice for accounting. I'd appreciate a quick reply.,INVOICE,get_invoice
Could you help - whta are my payment options at checkout?,PAYMENT,check_payment_methods
What's the typical delivery time to my,DELIVERY,delivery_period
Can I set up multiple addresses on my profile?,SHIPPING_ADDRESS,set_up_shipping_address
"could you help - i'm having trouble paying, the page errosr out",PAYMENT,payment_issue
Could you help - I want to lodge a complaint about the recent experience,FEEDBACK,complaint
"hi, adding a new address before my next order",SHIPPING_ADDRESS,set_up_shipping_address
The signup form keeps rejecting my email. This is urgent.,ACCOUNT,registration_problems
where do i post a product review? thanks advance.,FEEDBACK,review
"Hi team, I need my account deleted right away",ACCOUNT,delete_account
"hi, i need a human agent right",CONTACT,contact_human_agent
"Please refund order #3300, the item arrived broken. Thanks!",REFUND,get_refund
I was charged twice for the same order! I'd appreciate a quick reply.,PAYMENT,payment_issue
I'd like to receive your weekly emails.,NEWSLETTER,newsletter_subscription
I'd liek to edit my personal details.,ACCOUNT,edit_account
Can you tell me the status of order #9001?,ORDER,track_order
Could you help - is there a support I can use?,CONTACT,contact_customer_service
I'd like to edit my personal details. Thanks!,ACCOUNT,edit_account
Whta's the typical delivery time to my country?,DELIVERY,delivery_period
"helol, i want to lodge a complaint about the recent experience",FEEDBACK,complaint
how can I leave a review for the product I bought?,FEEDBACK,review
i need my money back for this defective product!,REFUND,get_refund
I need an invoice for accounting.,INVOICE,get_invoice
I'd like to edit my personal details. Please assist.,ACCOUNT,edit_account
can a live representative help me? the chatbot isn't enough.,CONTACT,contact_human_agent
Could you help - what are my payment options at checkout?,PAYMENT,check_payment_methods
"hi team, i'm extremely unhappy wtih the service",FEEDBACK,complaint
How can I change my acconut information?,ACCOUNT,edit_account
I'd liek to download an invoice,INVOICE,get_invoice
"Hi team, how do I request a refund?",REFUND,get_refund
what is your refund policy?,REFUND,check_refund_policy
How do I log into a secondary account?,ACCOUNT,switch_account
"Hi, I need my account deleted right away",ACCOUNT,delete_account
"Locked out of my accoutn, password recovery isn't working!",ACCOUNT,recover_password
"hey there, i need to cancel my order immediately",CANCEL,cancel_order
Could you help - do you offer money-back guarantees?,REFUND,check_refund_policy
i'd like to edit my personal details.,ACCOUNT,edit_account
"good morning, how do i add a new shipping address to my account?",SHIPPING_ADDRESS,set_up_shipping_address
"Hi, what shipping methods are available?",DELIVERY,delivery_options
"Wrogn address on my order, please update it! Thanks in advance.",SHIPPING_ADDRESS,change_shipping_address
Can you help me open a customer account? Cheers.,ACCOUNT,create_account
could you help - where is my order? it hasn't arrived yet,ORDER,track_order
i have a question: how do i edit the delivery address?,SHIPPING_ADDRESS,change_shipping_address
"excuse me, is there a support email i can use?",CONTACT,contact_customer_service
I have a question: what shipping methods are available?,DELIVERY,delivery_options
"Hi, how do I add a new shipping address to my account?",SHIPPING_ADDRESS,set_up_shipping_address
Please connect me to a real person. Looking forward to hearing back.,CONTACT,contact_human_agent
Can I have two accounts and switch between them? I'd appreciate a quick reply.,ACCOUNT,switch_account
"Hey there, I'm still waiting for my refund, where is it?",REFUND,track_refund
Why can't I create my account? It says inavlid input.,ACCOUNT,registration_problems
Quick question - I need to cancel my order immediately,CANCEL,cancel_order
"i changed my mind, can i cancel my recent purchase?",CANCEL,cancel_order
Coudl you help - adding a new address before my next order,SHIPPING_ADDRESS,set_up_shipping_address
Please remove my account from your system. Thanks!,ACCOUNT,delete_account
Could you help - sign me up for prmootional emails,NEWSLETTER,newsletter_subscription
can you help me open a custmoer account? cheers.,ACCOUNT,create_account
Do you take Apple Pay or only credit cards?,PAYMENT,check_payment_methods
Could you help - I'd like to download an invoice,INVOICE,get_invoice
Plesae remove my accuont frmo your system. Thanks!,ACCOUNT,delete_account
Quick question - I want to switch to a different account,ACCOUNT,switch_account
"Hi team, can you help me complete my pucrhase?",ORDER,place_order
can i choose same-day shipping? i'd appreciate a quick reply.,DELIVERY,delivery_options
Can you reorute my package to a new address?,SHIPPING_ADDRESS,change_shipping_address
I need my money back for this defective product!,REFUND,get_refund
"Hi, can you help me complete my purchase?",ORDER,place_order
Please cancel order #1234 before it ships. Thanks!,CANCEL,cancel_order
"Hi team, how can I levae a review for the product I bought?",FEEDBACK,review
"good morning, i watn to update the quantity in my order",ORDER,change_order
Where do I post a product review? Thanks!,FEEDBACK,review
Good I'm getting an error when trying to register,ACCOUNT,registration_problems
Can you email me a PDF invoice for order #5050?,INVOICE,get_invoice
"Hi team, when will my refund be processed?",REFUND,track_refund
please change the size on my recent order before it ships,ORDER,change_order
tracking number says delivered but i never got it. this is urgent.,ORDER,track_order
Could you help - how can I sing up for an account?,ACCOUNT,create_account
"Good morning, I want to speak with a human agent, not a bot",CONTACT,contact_human_agent
Can you tell me the status of order #9001?,ORDER,track_order
Your support has been awflu and I'm furious about it,FEEDBACK,complaint
why can't i create my account? it says invalid input.,ACCOUNT,registration_problems
"Good monring, I'm extremely unhappy with the service",FEEDBACK,complaint
what shipping methods are available?,DELIVERY,delivery_options
I want to write a review of my experience,FEEDBACK,review
"Hey there, how do I contact your support team?",CONTACT,contact_customer_service
"Hi team, I'd like to downlaod an invoice",INVOICE,get_invoice
Quick question - how long will my oredr take to arrive?,DELIVERY,delivery_period
I was charged twice for the same order! Thanks in advance.,PAYMENT,payment_issue
Can you show me invoice number 8842?,INVOICE,check_invoice
Could you help - adding a new address before my next order,SHIPPING_ADDRESS,set_up_shipping_address
I'd like to share my feedback on a recent purchase,FEEDBACK,review
Can you show me invoice number 8842?,INVOICE,check_invoice
"Hello, I need to modify my existing order",ORDER,change_order
I have a question: I wnat to create a new account on your platform,ACCOUNT,create_account
When can I expect my package? Thanks in advance.,DELIVERY,delivery_period
"excsue me, i need a human agent right now",CONTACT,contact_human_agent
"Could you help - I'm still wiating for my refund, whree is it?",REFUND,track_refund
Quick question - when will my refund be processed?,REFUND,track_refund
How can I change my account information?,ACCOUNT,edit_account
Can you show me invoice number 8842?,INVOICE,check_invoice
Can I choose same-day shipping? I'd apprceiate a quick reply.,DELIVERY,delivery_options
I have a question: I need to look up an old invoice,INVOICE,check_invoice
I have a question: I forgot my password and can't log in,ACCOUNT,recover_password
when will my refund be processed?,REFUND,track_refund
"This is unacceptable, I want to file a formal complaint! Cheers.",FEEDBACK,complaint
can i unsubscribe from the newslteter please?,NEWSLETTER,newsletter_subscription
"Excuse me, I'm still waiting for my refund, where is it?",REFUND,track_refund
how do I add a new shipping address to my account?,SHIPPING_ADDRESS,set_up_shipping_address
"excuse me, i need to cancel my order immediately",CANCEL,cancel_order
can you tell me the status of order #9001?,ORDER,track_order
Can I have two accounts and switch between them? Lokoing forawrd to hearing back.,ACCOUNT,switch_account
what is your customer service phone number?,CONTACT,contact_customer_service
I'd like to edit my personal details. Many thanks.,ACCOUNT,edit_account
I have a question: the password reset email never arrived,ACCOUNT,recover_password
"Hey there, can you help me complete my purchase?",ORDER,place_order
Could you help - how do I subscribe to your newsletter?,NEWSLETTER,newsletter_subscription
"Could you help - I'm still waiting for my refund, where is it?",REFUND,track_refund
Please change the size on my recent order before it ships,ORDER,change_order
why can't i create my account? it says invalid input.,ACCOUNT,registration_problems
Do you take Apple Pay or only credit cards? Thanks in advance.,PAYMENT,check_payment_methods
I have a quetsion: I'd like to place a new order,ORDER,place_order
"Hi team, which payment methods do you accept?",PAYMENT,check_payment_methods
"Wrong address on my order, pelase update it! Thanks in",SHIPPING_ADDRESS,change_shipping_address
"i have a question: i'm having trouble paying, the page errors out",PAYMENT,payment_issue
"Locked out of my account, password recovery isn't working!",ACCOUNT,recover_password
I have a question: how do I subscribe to your newsletter?,NEWSLETTER,newsletter_subscription
"Hi team, I need to update the email on my profile",ACCOUNT,edit_account
I have a question: I wnat to update the quantity in my order,ORDER,change_order
Can you show me invoice number 8842?,INVOICE,check_invoice
Could you help - adding a new address before my next order,SHIPPING_ADDRESS,set_up_shipping_address
i need my money back for this defective product!,REFUND,get_refund
"Hi taem, I need to update the email on my profile",ACCOUNT,edit_account
can i choose same-day shipping? this is urgent.,DELIVERY,delivery_options
"Wrong address on my order, plesae update it! Thanks in advance.",SHIPPING_ADDRESS,change_shipping_address
Could you help - I keep getting 'username already taken' but I'm new,ACCOUNT,registration_problems
Can you check on the status of my refund?,REFUND,track_refund
The signup form keeps rejecting my email. forward to hearing back.,ACCOUNT,registration_problems
Quick question - how do I request a refund?,REFUND,get_refund
Why can't I create my account? It says invalid inupt.,ACCOUNT,registration_problems
Quick question - what are my payment options at checkout?,PAYMENT,check_payment_methods
Can you help me open a customer account?,ACCOUNT,create_account
I have a question: how lnog will my order take to arrive?,DELIVERY,delivery_period
"morning, i want to deleet my account permanently",ACCOUNT,delete_account
"hi team, i'm extremely unhappy with the service",FEEDBACK,complaint
"Excuse me, I need to update the email on my profile",ACCOUNT,edit_account
Can I add another item to order #4422? Cheers.,ORDER,change_order
"Good morning, I'm still waiting for my refund, where is it?",REFUND,track_refund
how many days do i have to return an item?,REFUND,check_refund_policy
how do I edit the delivery address?,SHIPPING_ADDRESS,change_shipping_address
"Hi team, I want to speak wiht a human agent, not a bot",CONTACT,contact_human_agent
I have a question: I'm getting an errro when trying to register,ACCOUNT,registration_problems
i have a question: please send me the invoice for my recent order,INVOICE,get_invoice
"Hello, how do I subscribe your newsletter?",NEWSLETTER,newsletter_subscription
"help, the payment failed but money was deducted!",PAYMENT,payment_issue
Can you check on the status of my refund?,REFUND,track_refund
Where do I post a product review? Cheers.,FEEDBACK,review
"hi team, sign me up for promotional emails",NEWSLETTER,newsletter_subscription
Could you help - estimated delivery for standard shipping?,DELIVERY,delivery_period
I was charged twice for the same ordre! Cheers.,PAYMENT,payment_issue
"please refund order #3300, the item arrived broken. looking forwadr to hearing back.",REFUND,get_refund
i need to talk to about my order. please assist.,CONTACT,contact_customer_service
Can I add another item to order #4242?,ORDER,change_order
how do i close my account? i no longer wnat to use the service.,ACCOUNT,delete_account
I'd like to receive your weekly emails. Thanks!,NEWSLETTER,newsletter_subscription
"Hey there, how can I leave a review for the product I bought?",FEEDBACK,review
could you help - i want to delete my account permanently,ACCOUNT,delete_account
When can I expect my package? This is urgent.,DELIVERY,delivery_period
please remove my account from your system. this is urgent.,ACCOUNT,delete_account
connect me to a real person. Please assist.,CONTACT,contact_human_agent
"I want to speak with a human agent, not a bot",CONTACT,contact_human_agent
how do I edit the delivery address?,SHIPPING_ADDRESS,change_shipping_address
how many days do i have to return an item? many thanks.,REFUND,check_refund_policy
"hey there, cancel my order asap, i ordered the wrong",CANCEL,cancel_order
Can you help me open a customer account? This is urgent.,ACCOUNT,create_account
"Hey there, I want to delete my account permanently",ACCOUNT,delete_account
Do you take Apple Pay or only credit cards? Thanks!,PAYMENT,check_payment_methods
"Please refund order #3300, the item arrived broken. Thanks in advance.",REFUND,get_refund
how many dyas do i have to return an item?,REFUND,check_refund_policy
"Helol, how do add a new shipping address to my accuont?",SHIPPING_ADDRESS,set_up_shipping_address
"hey three, can you help me complete my purchase?",ORDER,place_order
"hi, how long will my order take to arrive?",DELIVERY,delivery_period
quick question sign me up for promotional emails,NEWSLETTER,newsletter_subscription
Quick question - I want to create a new account on your platform,ACCOUNT,create_account
cuold you hepl - i want to lodge a complaint about the recent experience,FEEDBACK,complaint
Why can't I create my account? It says invalid input.,ACCOUNT,registration_problems
Waht's the typical delivery time to my country?,DELIVERY,delivery_period
"Hello, I need to use a different user profile",ACCOUNT,switch_account
can i choose same-day shipping? i'd appreciate a quick reply.,DELIVERY,delivery_options
"I have a question: cancel my order asap, I ordered the wrong item",CANCEL,cancel_order
"excuse me, what shippnig methods are available?",DELIVERY,delivery_options
i'd like to share my feedback on a recent purchase,FEEDBACK,review
can i unsubscribe from the newsletter please?,NEWSLETTER,newsletter_subscription
how can i change my account inofrmation?,ACCOUNT,edit_account
How can I change my account information?,ACCOUNT,edit_account
"hi, i want to create a new account on your platform",ACCOUNT,create_account
How do I order this product?,ORDER,place_order
i need an invoice for accounting. thanks!,INVOICE,get_invoice
"Hi team, I need my account deleted right away",ACCOUNT,delete_account
"excuse me, i need a human agent right now",CONTACT,contact_human_agent
"Hello, I want to create a new account on your platform",ACCOUNT,create_account
i have a question: i want to create a new account on your platform,ACCOUNT,create_account
can you help me complete my purchase?,ORDER,place_order
"I need to reset my password, please help. I'd appreciate a quick reply.",ACCOUNT,recover_password
"hi team, i want to get a for my purchase",REFUND,get_refund
"Hi taem, can you me complete my purhcase?",ORDER,place_order
Can I get a full refund if I'm not satisfied?,REFUND,check_refund_policy
"hey there, do you offer money-back guarantees?",REFUND,check_refund_policy
How do I order thsi product?,ORDER,place_order
"Could you hlep - I'm having trouble paying, the page errors out",PAYMENT,payment_issue
Do you offer express delivery? I'm in a hurry.,DELIVERY,delivery_options
How do I close my account? I no longer want to use the service.,ACCOUNT,delete_account
"could you help - cancel my order asap, i ordered the wrong item",CANCEL,cancel_order
Can I get a full refund if I'm not,REFUND,check_refund_policy
"Hey there, I'm extremely unhappy wtih the service",FEEDBACK,complaint
How can I change my account information?,ACCOUNT,edit_account
"Hi, I want to wrtie a review of my experienec",FEEDBACK,review
i my money back for thsi defective product!,REFUND,get_refund
"Godo morning, I'm still waiting for my refund, where is it?",REFUND,track_refund
Could you help - how do I a new shipping address to my account?,SHIPPING_ADDRESS,set_up_shipping_address
I have a question: is there a support email I can use?,CONTACT,contact_customer_service
i'd like to receive your weekly emails.,NEWSLETTER,newsletter_subscription
"I'd like to regitser, what's the process? This is urgent.",ACCOUNT,create_account
"This is unacceptable, I want to file a formal complaint! This is urgent.",FEEDBACK,complaint
Can I add another itme to order #4422? This is urgent.,ORDER,change_order
what is your customer service phone number?,CONTACT,contact_customer_service
"hi, how do i reqeust a refund?",REFUND,get_refund
Can you help me open a customer account? Many thanks.,ACCOUNT,create_account
"This is unacceptable, I want to file a fromal complaint! I'd appreciate a quick reply.",FEEDBACK,complaint
Could you help - how do I request a refund?,REFUND,get_refund
can i set up multiple addresses on my profile? this is urgent.,SHIPPING_ADDRESS,set_up_shipping_address
"Hi, is there a support email I can use?",CONTACT,contact_customer_service
could you help - what is your refund policy?,REFUND,check_refund_policy
"I have a questino: I want to speak with a human agnet, not a bot",CONTACT,contact_human_agent
"Hello, can you help me modify my account settings?",ACCOUNT,edit_account
"Hi, I keep getting 'username already taken' but I'm new",ACCOUNT,registration_problems
"Hi, is there a support emali I can use?",CONTACT,contact_customer_service
I have a question: I need to look up an old invoice,INVOICE,check_invoice
Can I choose same-day shipping? Thnaks in advance.,DELIVERY,delivery_options
"Help, the payment failed but money was deducted!",PAYMENT,payment_issue
"I have a question: I'm having trouble paying, the page errors out",PAYMENT,payment_issue
"wrong address on my odrer, please update it! thanks!",SHIPPING_ADDRESS,change_shipping_address
